"Date","Open","Close","High","Low","Number of shares traded","Volume ","Nombre de contrats","Capitalization","Adjusted price"
"14/12/2023","67.90","68.00","68.00","67.90","344.00","23381.90","11","3420027904.00","68.00"
"13/12/2023","67.90","67.00","67.90","67.00","1124.00","75390.21","12","3369733376.00","67.00"
"12/12/2023","67.00","67.50","67.50","66.80","816.00","54711.10","16","3394880640.00","67.50"
"11/12/2023","68.13","66.73","68.13","66.73","625.00","41728.05","15","3356153853.44","66.73"
"08/12/2023","67.15","67.00","67.15","67.00","4145.00","277720.11","16","3369733376.00","67.00"
"07/12/2023","67.84","67.86","67.86","67.05","55.00","3730.55","8","3412986670.08","67.86"
"06/12/2023","67.86","67.05","67.86","67.05","47.00","3152.97","4","3372248102.40","67.05"
"05/12/2023","68.00","67.00","68.00","67.00","471.00","31576.00","19","3369733376.00","67.00"
"04/12/2023","68.00","68.00","68.00","67.10","68.00","4615.48","9","3420027904.00","68.00"
"01/12/2023","68.00","67.20","68.00","67.20","35.00","2376.80","5","3379792281.60","67.20"
"30/11/2023","67.14","67.00","69.00","67.00","5560.00","375587.79","68","3369733376.00","67.00"
"29/11/2023","68.00","67.15","69.01","67.15","4249.00","289249.98","23","3377277555.20","67.15"
"28/11/2023","67.30","67.70","67.70","67.30","287.00","19410.70","6","3404939545.60","67.70"
"27/11/2023","68.70","67.20","68.70","67.20","395.00","26641.23","17","3379792281.60","67.20"
"24/11/2023","68.70","68.55","68.70","67.15","67.00","4595.03","11","3447689894.40","68.55"
"23/11/2023","67.04","68.45","68.45","67.04","3345.00","228760.14","15","3442660441.60","68.45"
"22/11/2023","68.79","68.30","68.79","68.30","47.00","3215.00","9","3435116262.40","68.30"
"21/11/2023","68.83","68.50","68.83","68.50","2.00","137.33","2","3445175168.00","68.50"
"20/11/2023","68.93","68.49","68.93","68.49","115.00","7876.91","5","3444672222.72","68.49"
"17/11/2023","68.80","68.49","68.80","68.49","104.00","7153.96","5","3444672222.72","68.49"
"16/11/2023","66.61","67.00","67.00","66.13","2311.00","153458.60","19","3369733376.00","67.00"
"15/11/2023","68.01","66.50","68.02","66.00","3042.00","201948.79","31","3344586112.00","66.50"
"14/11/2023","68.00","68.00","68.80","68.00","120.00","8167.42","5","3420027904.00","68.00"
"13/11/2023","68.00","68.00","68.00","68.00","127.00","8636.00","8","3420027904.00","68.00"
